group,x,y,prior
data,-16,2.6293985325293617e-5,"Uniform(-Inf, Inf)"
data,-16,2.6293985325293617e-5,"N(-50, 10)"
data,-16,2.6293985325293617e-5,"N(-50, 50)"
data,-16,2.6293985325293617e-5,"N(0, 50)"
data,-16,2.6293985325293617e-5,"N(0, 10)"
data,-15,4.203721280336646e-5,"Uniform(-Inf, Inf)"
data,-15,4.203721280336646e-5,"N(-50, 10)"
data,-15,4.203721280336646e-5,"N(-50, 50)"
data,-15,4.203721280336646e-5,"N(0, 50)"
data,-15,4.203721280336646e-5,"N(0, 10)"
data,-14,6.619984485751756e-5,"Uniform(-Inf, Inf)"
data,-14,6.619984485751756e-5,"N(-50, 10)"
data,-14,6.619984485751756e-5,"N(-50, 50)"
data,-14,6.619984485751756e-5,"N(0, 50)"
data,-14,6.619984485751756e-5,"N(0, 10)"
data,-13,1.0268939410757799e-4,"Uniform(-Inf, Inf)"
data,-13,1.0268939410757799e-4,"N(-50, 10)"
data,-13,1.0268939410757799e-4,"N(-50, 50)"
data,-13,1.0268939410757799e-4,"N(0, 50)"
data,-13,1.0268939410757799e-4,"N(0, 10)"
data,-12,1.5690608001585094e-4,"Uniform(-Inf, Inf)"
data,-12,1.5690608001585094e-4,"N(-50, 10)"
data,-12,1.5690608001585094e-4,"N(-50, 50)"
data,-12,1.5690608001585094e-4,"N(0, 50)"
data,-12,1.5690608001585094e-4,"N(0, 10)"
data,-11,2.3615628870184035e-4,"Uniform(-Inf, Inf)"
data,-11,2.3615628870184035e-4,"N(-50, 10)"
data,-11,2.3615628870184035e-4,"N(-50, 50)"
data,-11,2.3615628870184035e-4,"N(0, 50)"
data,-11,2.3615628870184035e-4,"N(0, 10)"
data,-10,3.501102446625985e-4,"Uniform(-Inf, Inf)"
data,-10,3.501102446625985e-4,"N(-50, 10)"
data,-10,3.501102446625985e-4,"N(-50, 50)"
data,-10,3.501102446625985e-4,"N(0, 50)"
data,-10,3.501102446625985e-4,"N(0, 10)"
data,-9,5.112763265396512e-4,"Uniform(-Inf, Inf)"
data,-9,5.112763265396512e-4,"N(-50, 10)"
data,-9,5.112763265396512e-4,"N(-50, 50)"
data,-9,5.112763265396512e-4,"N(0, 50)"
data,-9,5.112763265396512e-4,"N(0, 10)"
data,-8,7.354482363080727e-4,"Uniform(-Inf, Inf)"
data,-8,7.354482363080727e-4,"N(-50, 10)"
data,-8,7.354482363080727e-4,"N(-50, 50)"
data,-8,7.354482363080727e-4,"N(0, 50)"
data,-8,7.354482363080727e-4,"N(0, 10)"
data,-7,0.0010420632948954156,"Uniform(-Inf, Inf)"
data,-7,0.0010420632948954156,"N(-50, 10)"
data,-7,0.0010420632948954156,"N(-50, 50)"
data,-7,0.0010420632948954156,"N(0, 50)"
data,-7,0.0010420632948954156,"N(0, 10)"
data,-6,0.0014543925731295448,"Uniform(-Inf, Inf)"
data,-6,0.0014543925731295448,"N(-50, 10)"
data,-6,0.0014543925731295448,"N(-50, 50)"
data,-6,0.0014543925731295448,"N(0, 50)"
data,-6,0.0014543925731295448,"N(0, 10)"
data,-5,0.0019994693853917947,"Uniform(-Inf, Inf)"
data,-5,0.0019994693853917947,"N(-50, 10)"
data,-5,0.0019994693853917947,"N(-50, 50)"
data,-5,0.0019994693853917947,"N(0, 50)"
data,-5,0.0019994693853917947,"N(0, 10)"
data,-4,0.0027076556467086513,"Uniform(-Inf, Inf)"
data,-4,0.0027076556467086513,"N(-50, 10)"
data,-4,0.0027076556467086513,"N(-50, 50)"
